DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2014,204.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2015,207.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2016,210.1,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2017,212.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2018,213.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2019,215.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2020,215.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2021,216.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2022,220.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2023,223.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Switzerland,2024,226.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2013,93.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2014,92.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2015,92.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2016,92.4,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2017,93.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2018,94.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2019,95.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2020,95.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2021,96.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2022,100.6,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2023,104.0,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Cyprus,2024,105.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2013,136.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2014,136.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2015,136.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2016,136.8,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2017,137.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2018,137.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2019,138.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2020,138.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2021,138.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2022,138.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2023,140.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Czechia,2024,141.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2013,225.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2014,226.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2015,228.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2016,233.1,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2017,234.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2018,234.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2019,235.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2020,235.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2021,235.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2022,235.4,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2023,235.8,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Germany,2024,236.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2013,130.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2014,131.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2015,132.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2016,136.4,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2017,137.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2018,138.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2019,138.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2020,138.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2021,138.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2022,140.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2023,141.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Denmark,2024,142.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2013,30.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2014,30.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2015,30.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2016,30.3,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2017,30.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2018,30.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2019,30.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2020,30.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2021,30.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2022,31.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2023,31.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Estonia,2024,31.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2013,83.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2014,82.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2015,82.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2016,82.4,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2017,82.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2018,82.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2019,82.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2020,82.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2021,82.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2022,80.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2023,80.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Greece,2024,79.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2013,92.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2014,92.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2015,92.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Spain,2016,92.5,b,
