Model,RMSE,MAE,R2,N
Naive persistence,2.6286,1.9946,-0.4373,364
Rolling mean (4q),2.3309,1.739,-0.1301,364
OLS,2.3665,1.8194,-0.1649,364
Ridge (pooled),2.3104,1.7749,-0.1104,364
Lasso (pooled),2.3421,1.7989,-0.141,364
Random Forest (pooled),2.3548,1.7704,-0.1535,364
Gradient Boosting (pooled),2.3595,1.7934,-0.158,364
RF (Lit-East),2.2105,1.7186,-0.2095,168
GB (Lit-East),2.2446,1.7582,-0.2472,168
RF (Lit-West),1.8993,1.4032,0.0788,84
GB (Lit-West),1.8453,1.3761,0.1304,84
RF (Lit-South),2.467,1.8124,-0.519,70
GB (Lit-South),2.4991,1.8638,-0.5588,70
RF (Lit-North),1.6136,1.3224,0.2259,42
GB (Lit-North),1.4937,1.2162,0.3366,42
RF (KM-Cluster0),2.1747,1.602,-0.1023,140
GB (KM-Cluster0),2.5777,1.8911,-0.5487,140
RF (KM-Cluster1),1.8227,1.5299,0.2185,98
GB (KM-Cluster1),1.6891,1.4384,0.3289,98
RF (KM-Cluster2),1.8275,1.3587,-3.0624,28
GB (KM-Cluster2),2.112,1.6367,-4.4257,28
RF (KM-Cluster3),2.6718,2.0179,-0.2149,98
GB (KM-Cluster3),2.3727,1.7827,0.0419,98
